id,HubbleType,isElliptical
16333,Sd-Irr,NotElliptical
16392,E,Elliptical
16412,Sd-Irr,NotElliptical
16426,Sd-Irr,NotElliptical
16430,Sd-Irr,NotElliptical
16444,Sd-Irr,NotElliptical
16445,Sd-Irr,NotElliptical
16487,Sd-Irr,NotElliptical
16488,LBS,NotElliptical
16498,Sd-Irr,NotElliptical
16507,E,Elliptical
16514,E,Elliptical
16515,E,Elliptical
16519,S0-Sa,NotElliptical
16523,Sab-Scd,NotElliptical
16525,E,Elliptical
16526,E,Elliptical
16534,Sab-Scd,NotElliptical
16537,Sd-Irr,NotElliptical
16547,Sd-Irr,NotElliptical
16590,Sd-Irr,NotElliptical
16591,Sd-Irr,NotElliptical
16739,Sd-Irr,NotElliptical
16792,S0-Sa,NotElliptical
16811,Sd-Irr,NotElliptical
16823,Sd-Irr,NotElliptical
16828,Sab-Scd,NotElliptical
16848,Sd-Irr,NotElliptical
16863,Sab-Scd,NotElliptical
16869,LBS,LBS
16873,Sab-Scd,NotElliptical
16888,LBS,LBS
16918,Sd-Irr,NotElliptical
16926,S0-Sa,NotElliptical
16948,Sab-Scd,NotElliptical
16993,E,LBS
17030,LBS,LBS
17047,Sd-Irr,NotElliptical
17055,LBS,NotElliptical
17134,Sd-Irr,NotElliptical
17176,Sd-Irr,NotElliptical
17259,Sd-Irr,NotElliptical
17263,LBS,LBS
17296,Sd-Irr,NotElliptical
17319,S0-Sa,NotElliptical
17359,LBS,NotElliptical
17360,Sd-Irr,NotElliptical
17362,LBS,NotElliptical
17385,E,Elliptical
17410,Sd-Irr,NotElliptical
17414,Sab-Scd,NotElliptical
17429,Sd-Irr,NotElliptical
21836,Sd-Irr,NotElliptical
21910,Sd-Irr,NotElliptical
21958,Sd-Irr,NotElliptical
21979,Sd-Irr,NotElliptical
22070,Sab-Scd,NotElliptical
22170,Sab-Scd,NotElliptical
22175,Sd-Irr,NotElliptical
22178,Sd-Irr,NotElliptical
22352,Sd-Irr,NotElliptical
22356,Sab-Scd,NotElliptical
22486,Sd-Irr,NotElliptical
22779,LBS,NotElliptical
22805,Sab-Scd,NotElliptical
22839,Sab-Scd,NotElliptical
22859,Sab-Scd,NotElliptical
22962,Sd-Irr,NotElliptical
23247,Sd-Irr,NotElliptical
23337,Sab-Scd,NotElliptical
23434,Sd-Irr,NotElliptical
23498,LBS,NotElliptical
23499,Sd-Irr,NotElliptical
23519,Sd-Irr,NotElliptical
23578,Sab-Scd,NotElliptical
23593,LBS,NotElliptical
23669,Sd-Irr,NotElliptical
23710,Sd-Irr,NotElliptical
23737,Sd-Irr,NotElliptical
23865,Sd-Irr,NotElliptical
23868,LBS,NotElliptical
24031,Sd-Irr,NotElliptical
24058,LBS,LBS
24103,Sd-Irr,NotElliptical
24207,Sab-Scd,NotElliptical
24399,LBS,NotElliptical
24414,Sd-Irr,NotElliptical
24433,Sd-Irr,NotElliptical
28654,Sab-Scd,NotElliptical
28709,Sd-Irr,NotElliptical
28725,Sd-Irr,NotElliptical
28736,Sd-Irr,NotElliptical
28737,Sd-Irr,NotElliptical
28738,S0-Sa,NotElliptical
28741,Sd-Irr,LBS
28742,LBS,LBS
28743,LBS,LBS
28770,Sd-Irr,NotElliptical
28790,Sd-Irr,NotElliptical
28798,Sd-Irr,NotElliptical
28837,Sab-Scd,NotElliptical
28860,Sab-Scd,NotElliptical
28864,Sd-Irr,NotElliptical
30346,Sab-Scd,NotElliptical
30350,Sd-Irr,NotElliptical
30377,Sd-Irr,NotElliptical
30500,Sd-Irr,NotElliptical
30664,Sd-Irr,NotElliptical
30786,S0-Sa,NotElliptical
30890,Sab-Scd,NotElliptical
30911,E,Elliptical
30937,Sd-Irr,NotElliptical
31129,LBS,NotElliptical
31377,LBS,NotElliptical
31452,Sab-Scd,NotElliptical
31480,Sd-Irr,NotElliptical
31509,Sd-Irr,NotElliptical
31525,E,Elliptical
31620,S0-Sa,NotElliptical
31634,Sd-Irr,NotElliptical
31725,Sd-Irr,NotElliptical
31873,Sd-Irr,NotElliptical
31957,LBS,NotElliptical
32136,Sd-Irr,NotElliptical
32249,Sd-Irr,NotElliptical
32274,Sd-Irr,NotElliptical
32295,Sd-Irr,NotElliptical
32322,Sd-Irr,NotElliptical
32362,Sab-Scd,NotElliptical
32368,LBS,NotElliptical
32425,Sd-Irr,NotElliptical
32676,Sab-Scd,NotElliptical
36855,Sd-Irr,NotElliptical
36861,E,Elliptical
36864,Sd-Irr,NotElliptical
36867,Sd-Irr,NotElliptical
36894,Sd-Irr,NotElliptical
36910,E,Elliptical
36923,Sd-Irr,NotElliptical
36956,LBS,LBS
36981,Sd-Irr,NotElliptical
36997,Sd-Irr,NotElliptical
37017,Sd-Irr,NotElliptical
37049,Sd-Irr,NotElliptical
37050,Sd-Irr,NotElliptical
37051,Sd-Irr,NotElliptical
37063,E,Elliptical
37077,Sd-Irr,NotElliptical
38963,Sd-Irr,NotElliptical
38980,Sd-Irr,NotElliptical
38992,Sd-Irr,NotElliptical
38994,Sd-Irr,NotElliptical
38995,Sd-Irr,NotElliptical
39003,Sd-Irr,NotElliptical
39004,Sd-Irr,NotElliptical
39057,E,Elliptical
39108,Sd-Irr,NotElliptical
39131,Sd-Irr,NotElliptical
39145,E,LBS
39148,Sd-Irr,NotElliptical
39161,Sd-Irr,NotElliptical
39263,Sab-Scd,NotElliptical
39322,Sd-Irr,NotElliptical
39341,Sd-Irr,NotElliptical
39342,Sd-Irr,NotElliptical
39365,Sab-Scd,NotElliptical
39373,Sd-Irr,NotElliptical
39594,Sd-Irr,NotElliptical
39602,Sd-Irr,NotElliptical
39671,E,LBS
40096,Sd-Irr,NotElliptical
40172,Sd-Irr,NotElliptical
40197,S0-Sa,NotElliptical
40283,Sd-Irr,NotElliptical
40420,Sd-Irr,NotElliptical
40442,Sd-Irr,NotElliptical
40453,Sd-Irr,NotElliptical
40482,Sd-Irr,NotElliptical
40765,LBS,LBS
40800,LBS,NotElliptical
40843,Sd-Irr,NotElliptical
40871,Sd-Irr,NotElliptical
40872,Sd-Irr,NotElliptical
40916,Sab-Scd,NotElliptical
40984,Sd-Irr,NotElliptical
41027,Sd-Irr,NotElliptical
41075,Sd-Irr,NotElliptical
41144,Sab-Scd,NotElliptical
41163,Sd-Irr,NotElliptical
41164,Sd-Irr,NotElliptical
41165,Sd-Irr,NotElliptical
41173,Sd-Irr,NotElliptical
41232,E,Elliptical
41307,Sd-Irr,NotElliptical
41319,LBS,NotElliptical
41354,Sd-Irr,NotElliptical
47203,Sd-Irr,NotElliptical
47214,Sd-Irr,NotElliptical
47215,Sd-Irr,LBS
47217,Sd-Irr,NotElliptical
47223,LBS,LBS
47228,Sd-Irr,NotElliptical
47243,E,Elliptical
47245,Sd-Irr,NotElliptical
47246,Sd-Irr,NotElliptical
47251,Sab-Scd,NotElliptical
47254,E,Elliptical
47258,S0-Sa,NotElliptical
47269,LBS,NotElliptical
47276,Sd-Irr,NotElliptical
47277,Sd-Irr,NotElliptical
47286,Sd-Irr,NotElliptical
47295,E,Elliptical
47312,Sd-Irr,NotElliptical
47342,Sab-Scd,NotElliptical
47369,S0-Sa,NotElliptical
47376,E,Elliptical
47395,Sd-Irr,NotElliptical
47406,Sd-Irr,LBS
47447,Sd-Irr,NotElliptical
47464,Sab-Scd,NotElliptical
47499,LBS,NotElliptical
47535,Sd-Irr,NotElliptical
47577,Sd-Irr,NotElliptical
47617,LBS,NotElliptical
47652,Sab-Scd,NotElliptical
47674,E,Elliptical
47686,Sab-Scd,NotElliptical
47711,Sd-Irr,NotElliptical
47753,Sab-Scd,NotElliptical
47761,Sd-Irr,NotElliptical
47765,Sd-Irr,NotElliptical
47780,Sd-Irr,LBS
47808,Sd-Irr,NotElliptical
47832,Sd-Irr,NotElliptical
47836,Sd-Irr,NotElliptical
47856,Sab-Scd,NotElliptical
47862,Sd-Irr,NotElliptical
47939,Sab-Scd,NotElliptical
47959,Sd-Irr,NotElliptical
47966,Sd-Irr,NotElliptical
48004,E,Elliptical
48010,E,Elliptical
48016,Sab-Scd,NotElliptical
48026,Sd-Irr,NotElliptical
48034,Sd-Irr,NotElliptical
48036,Sd-Irr,NotElliptical
48050,E,LBS
48051,Sd-Irr,NotElliptical
48053,E,Elliptical
48099,S0-Sa,NotElliptical
48100,Sd-Irr,NotElliptical
48118,Sd-Irr,NotElliptical
48121,Sd-Irr,NotElliptical
48122,Sd-Irr,NotElliptical
48143,Sd-Irr,NotElliptical
48146,Sab-Scd,NotElliptical
48204,Sd-Irr,NotElliptical
48265,LBS,NotElliptical
48281,Sd-Irr,NotElliptical
48312,Sd-Irr,NotElliptical
48333,Sd-Irr,NotElliptical
48401,LBS,LBS
48406,Sd-Irr,NotElliptical
48422,Sd-Irr,NotElliptical
48506,Sab-Scd,NotElliptical
48539,Sd-Irr,NotElliptical
48553,LBS,NotElliptical
48576,E,Elliptical
48667,Sd-Irr,NotElliptical
48724,E,Elliptical
48734,Sd-Irr,NotElliptical
48735,S0-Sa,NotElliptical
48762,Sd-Irr,NotElliptical
48804,Sd-Irr,NotElliptical
48868,Sd-Irr,NotElliptical
48956,Sd-Irr,NotElliptical
48969,Sab-Scd,NotElliptical
48976,LBS,NotElliptical
49017,LBS,LBS
49167,Sab-Scd,NotElliptical
49173,Sd-Irr,NotElliptical
49204,Sd-Irr,NotElliptical
49258,Sab-Scd,NotElliptical
49363,Sd-Irr,NotElliptical
49524,Sd-Irr,NotElliptical
49626,Sd-Irr,NotElliptical
49631,Sd-Irr,NotElliptical
49640,LBS,NotElliptical
49664,Sab-Scd,NotElliptical
49668,Sd-Irr,NotElliptical
49670,Sd-Irr,NotElliptical
49677,Sd-Irr,NotElliptical
49692,Sab-Scd,NotElliptical
49706,Sd-Irr,NotElliptical
49728,Sab-Scd,NotElliptical
49730,Sab-Scd,NotElliptical
49732,LBS,NotElliptical
49734,S0-Sa,NotElliptical
49753,Sd-Irr,NotElliptical
49755,Sd-Irr,NotElliptical
49813,Sd-Irr,NotElliptical
49830,Sd-Irr,NotElliptical
49840,Sd-Irr,NotElliptical
49849,LBS,NotElliptical
49855,Sd-Irr,NotElliptical
49886,Sd-Irr,NotElliptical
49929,Sd-Irr,NotElliptical
53736,Sd-Irr,NotElliptical
53771,LBS,NotElliptical
53809,Sd-Irr,NotElliptical
53933,Sd-Irr,NotElliptical
53977,Sab-Scd,NotElliptical
53995,Sd-Irr,NotElliptical
54102,Sab-Scd,NotElliptical
54198,Sab-Scd,NotElliptical
54200,S0-Sa,NotElliptical
54201,S0-Sa,NotElliptical
54202,E,Elliptical
54214,Sd-Irr,NotElliptical
54296,Sd-Irr,NotElliptical
54339,Sd-Irr,NotElliptical
54358,Sd-Irr,NotElliptical
54359,Sab-Scd,NotElliptical
54382,LBS,NotElliptical
54455,Sd-Irr,NotElliptical
54554,LBS,NotElliptical
54848,LBS,NotElliptical
54895,Sd-Irr,NotElliptical
54938,LBS,NotElliptical
55124,Sd-Irr,NotElliptical
55143,E,Elliptical
55150,Sab-Scd,NotElliptical
55227,Sd-Irr,NotElliptical
55287,Sd-Irr,NotElliptical
55333,Sd-Irr,NotElliptical
55346,Sd-Irr,NotElliptical
55367,Sd-Irr,NotElliptical
55372,Sab-Scd,NotElliptical
55383,Sd-Irr,NotElliptical
55448,Sd-Irr,NotElliptical
55470,Sd-Irr,NotElliptical
55530,Sd-Irr,NotElliptical
55648,Sd-Irr,NotElliptical
55684,S0-Sa,NotElliptical
55881,Sd-Irr,NotElliptical
55882,Sab-Scd,NotElliptical
55905,Sd-Irr,NotElliptical
56055,LBS,NotElliptical
56061,Sd-Irr,NotElliptical
56128,Sd-Irr,NotElliptical
56181,E,Elliptical
56183,Sab-Scd,NotElliptical
56367,Sd-Irr,NotElliptical
56439,Sd-Irr,NotElliptical
62197,LBS,NotElliptical
62213,Sd-Irr,NotElliptical
62233,Sd-Irr,NotElliptical
62239,E,Elliptical
62241,Sd-Irr,NotElliptical
62243,Sd-Irr,NotElliptical
62244,E,Elliptical
62254,Sd-Irr,NotElliptical
62280,Sd-Irr,NotElliptical
62316,Sd-Irr,NotElliptical
62326,Sd-Irr,NotElliptical
62330,Sd-Irr,NotElliptical
62354,Sd-Irr,NotElliptical
62364,Sd-Irr,NotElliptical
62374,Sd-Irr,NotElliptical
62381,Sd-Irr,NotElliptical
62392,Sd-Irr,NotElliptical
62406,Sab-Scd,NotElliptical
62412,Sd-Irr,NotElliptical
62420,Sd-Irr,NotElliptical
62435,Sab-Scd,NotElliptical
62439,Sd-Irr,NotElliptical
62440,LBS,NotElliptical
62442,Sd-Irr,NotElliptical
62453,Sd-Irr,NotElliptical
62464,Sd-Irr,NotElliptical
62472,LBS,NotElliptical
62654,Sd-Irr,NotElliptical
62663,Sd-Irr,NotElliptical
62718,Sab-Scd,NotElliptical
62785,Sd-Irr,NotElliptical
62800,Sd-Irr,NotElliptical
62834,Sd-Irr,NotElliptical
62954,Sd-Irr,NotElliptical
63023,Sd-Irr,NotElliptical
63027,S0-Sa,NotElliptical
63035,Sd-Irr,NotElliptical
63036,Sd-Irr,NotElliptical
63073,Sd-Irr,NotElliptical
63084,LBS,NotElliptical
63086,Sd-Irr,NotElliptical
63087,Sab-Scd,NotElliptical
63107,Sd-Irr,NotElliptical
63122,Sab-Scd,NotElliptical
63147,Sd-Irr,NotElliptical
63163,Sd-Irr,NotElliptical
63211,S0-Sa,NotElliptical
63237,Sd-Irr,NotElliptical
63244,Sd-Irr,NotElliptical
63246,LBS,NotElliptical
63275,E,Elliptical
63277,Sd-Irr,NotElliptical
63281,Sd-Irr,NotElliptical
63302,Sab-Scd,NotElliptical
63304,S0-Sa,NotElliptical
63305,S0-Sa,NotElliptical
63306,Sd-Irr,NotElliptical
63311,Sd-Irr,NotElliptical
63315,Sd-Irr,NotElliptical
63329,Sd-Irr,NotElliptical
63333,Sd-Irr,NotElliptical
63344,Sd-Irr,NotElliptical
63359,Sd-Irr,NotElliptical
63389,Sab-Scd,NotElliptical
63413,LBS,NotElliptical
63438,LBS,LBS
63456,LBS,NotElliptical
63673,Sd-Irr,NotElliptical
63755,Sd-Irr,NotElliptical
63764,Sd-Irr,NotElliptical
63777,Sab-Scd,NotElliptical
63779,Sd-Irr,NotElliptical
63819,Sd-Irr,NotElliptical
63826,Sd-Irr,NotElliptical
63827,Sd-Irr,LBS
63882,Sd-Irr,NotElliptical
63885,S0-Sa,NotElliptical
63927,Sd-Irr,NotElliptical
63939,Sd-Irr,NotElliptical
64087,S0-Sa,NotElliptical
64094,LBS,NotElliptical
64127,Sd-Irr,NotElliptical
64144,Sd-Irr,NotElliptical
64145,Sd-Irr,NotElliptical
64156,Sab-Scd,NotElliptical
64166,LBS,NotElliptical
64167,Sd-Irr,NotElliptical
64240,LBS,NotElliptical
64284,LBS,NotElliptical
64288,LBS,LBS
64302,Sd-Irr,NotElliptical
64420,Sd-Irr,NotElliptical
64660,Sd-Irr,NotElliptical
64687,Sd-Irr,NotElliptical
64758,Sd-Irr,NotElliptical
64829,Sd-Irr,NotElliptical
64831,Sd-Irr,LBS
64984,Sab-Scd,NotElliptical
65109,LBS,NotElliptical
65237,Sd-Irr,NotElliptical
65278,Sd-Irr,NotElliptical
65338,Sd-Irr,NotElliptical
65355,Sab-Scd,NotElliptical
65359,Sab-Scd,NotElliptical
65384,S0-Sa,NotElliptical
65401,Sd-Irr,NotElliptical
65408,E,Elliptical
65410,E,Elliptical
65416,S0-Sa,NotElliptical
65418,Sd-Irr,NotElliptical
65433,Sd-Irr,NotElliptical
65435,Sd-Irr,NotElliptical
65445,LBS,NotElliptical
69513,Sab-Scd,NotElliptical
69535,Sab-Scd,NotElliptical
69551,Sab-Scd,NotElliptical
69566,LBS,NotElliptical
69620,S0-Sa,NotElliptical
69652,Sd-Irr,NotElliptical
69740,S0-Sa,NotElliptical
69752,S0-Sa,NotElliptical
69844,Sab-Scd,NotElliptical
69864,Sd-Irr,NotElliptical
69870,LBS,NotElliptical
69983,Sab-Scd,NotElliptical
70023,S0-Sa,NotElliptical
70107,Sd-Irr,NotElliptical
70117,Sab-Scd,NotElliptical
70131,Sab-Scd,NotElliptical
70378,Sab-Scd,NotElliptical
70403,S0-Sa,NotElliptical
70408,Sd-Irr,NotElliptical
70522,Sd-Irr,NotElliptical
70532,S0-Sa,NotElliptical
70719,LBS,NotElliptical
70777,Sab-Scd,NotElliptical
70808,E,Elliptical
70856,Sd-Irr,NotElliptical
70903,E,Elliptical
70913,LBS,LBS
71010,LBS,NotElliptical
71099,LBS,LBS
71117,Sd-Irr,NotElliptical
71146,Sab-Scd,NotElliptical
71269,Sd-Irr,NotElliptical
71380,Sd-Irr,NotElliptical
71382,Sab-Scd,NotElliptical
77093,Sab-Scd,NotElliptical
77108,Sd-Irr,NotElliptical
77123,LBS,LBS
77144,Sd-Irr,NotElliptical
77153,Sd-Irr,NotElliptical
77170,Sd-Irr,NotElliptical
77175,LBS,LBS
77192,LBS,LBS
77193,Sab-Scd,NotElliptical
77210,LBS,NotElliptical
77215,Sab-Scd,NotElliptical
77226,S0-Sa,NotElliptical
77227,S0-Sa,NotElliptical
77238,E,Elliptical
77239,Sd-Irr,NotElliptical
77261,Sd-Irr,NotElliptical
77265,Sd-Irr,NotElliptical
77273,Sd-Irr,NotElliptical
77304,Sab-Scd,NotElliptical
77324,Sd-Irr,NotElliptical
77345,E,Elliptical
77346,LBS,NotElliptical
77373,Sd-Irr,NotElliptical
77377,Sd-Irr,NotElliptical
77389,Sd-Irr,NotElliptical
77403,Sab-Scd,NotElliptical
77428,Sd-Irr,NotElliptical
77445,Sd-Irr,NotElliptical
77452,Sab-Scd,NotElliptical
77467,Sd-Irr,NotElliptical
77528,Sd-Irr,NotElliptical
77610,E,Elliptical
77615,Sd-Irr,NotElliptical
77651,Sab-Scd,NotElliptical
77652,Sd-Irr,NotElliptical
77695,Sd-Irr,NotElliptical
77696,Sd-Irr,NotElliptical
77705,E,Elliptical
77707,Sab-Scd,NotElliptical
77710,S0-Sa,NotElliptical
77712,Sd-Irr,NotElliptical
77713,Sd-Irr,NotElliptical
77714,Sab-Scd,NotElliptical
77718,Sd-Irr,NotElliptical
77752,Sab-Scd,NotElliptical
77845,Sd-Irr,NotElliptical
77998,Sd-Irr,NotElliptical
78018,Sab-Scd,NotElliptical
78126,Sd-Irr,NotElliptical
78143,S0-Sa,NotElliptical
78180,Sd-Irr,NotElliptical
78279,Sd-Irr,NotElliptical
78350,E,Elliptical
78355,S0-Sa,NotElliptical
78406,Sd-Irr,NotElliptical
78425,S0-Sa,NotElliptical
78428,Sd-Irr,NotElliptical
78485,Sd-Irr,NotElliptical
78490,Sab-Scd,NotElliptical
78509,Sd-Irr,NotElliptical
78520,Sab-Scd,NotElliptical
78522,E,Elliptical
78523,Sab-Scd,NotElliptical
78528,Sd-Irr,NotElliptical
78530,E,Elliptical
78548,LBS,NotElliptical
78553,Sab-Scd,NotElliptical
78559,Sd-Irr,NotElliptical
78577,Sd-Irr,NotElliptical
78598,Sd-Irr,NotElliptical
78623,Sab-Scd,NotElliptical
78629,LBS,NotElliptical
78634,S0-Sa,NotElliptical
78651,Sd-Irr,NotElliptical
78667,Sab-Scd,NotElliptical
78673,Sd-Irr,NotElliptical
78681,Sd-Irr,NotElliptical
78696,LBS,NotElliptical
78711,Sd-Irr,NotElliptical
78723,Sd-Irr,NotElliptical
78724,Sd-Irr,NotElliptical
78728,Sd-Irr,NotElliptical
78732,Sab-Scd,NotElliptical
78740,E,Elliptical
78743,Sd-Irr,NotElliptical
78752,Sd-Irr,NotElliptical
78760,LBS,LBS
78772,LBS,LBS
78791,Sab-Scd,NotElliptical
78800,S0-Sa,NotElliptical
78814,Sd-Irr,NotElliptical
78842,Sab-Scd,NotElliptical
78865,Sd-Irr,NotElliptical
78911,Sd-Irr,NotElliptical
78921,Sab-Scd,NotElliptical
78977,Sd-Irr,NotElliptical
79036,Sd-Irr,NotElliptical
79055,Sab-Scd,NotElliptical
79065,Sd-Irr,NotElliptical
79084,Sd-Irr,NotElliptical
79098,Sd-Irr,NotElliptical
79171,LBS,LBS
79208,LBS,NotElliptical
79209,Sab-Scd,NotElliptical
79224,Sd-Irr,NotElliptical
79257,Sab-Scd,NotElliptical
79294,Sd-Irr,NotElliptical
79301,Sab-Scd,NotElliptical
79529,Sd-Irr,NotElliptical
79553,Sd-Irr,NotElliptical
79566,LBS,LBS
79568,LBS,NotElliptical
79601,Sd-Irr,NotElliptical
79635,Sab-Scd,NotElliptical
79670,Sab-Scd,NotElliptical
79681,S0-Sa,NotElliptical
79688,E,Elliptical
79690,Sd-Irr,NotElliptical
79693,Sab-Scd,NotElliptical
79700,Sd-Irr,NotElliptical
79705,Sd-Irr,NotElliptical
79706,E,Elliptical
79710,Sd-Irr,NotElliptical
79711,S0-Sa,NotElliptical
79712,Sd-Irr,NotElliptical
79726,Sd-Irr,NotElliptical
79733,E,Elliptical
79734,LBS,NotElliptical
79736,Sd-Irr,NotElliptical
79743,Sd-Irr,NotElliptical
79744,LBS,NotElliptical
79771,Sd-Irr,NotElliptical
79773,Sd-Irr,NotElliptical
79775,Sd-Irr,NotElliptical
79810,E,Elliptical
79811,LBS,NotElliptical
79813,Sab-Scd,NotElliptical
79829,Sd-Irr,NotElliptical
79834,E,Elliptical
79836,S0-Sa,NotElliptical
79837,LBS,LBS
79840,LBS,LBS
79849,S0-Sa,NotElliptical
79850,Sd-Irr,NotElliptical
79862,Sd-Irr,NotElliptical
79866,E,Elliptical
79889,Sd-Irr,NotElliptical
79901,Sd-Irr,NotElliptical
83834,Sd-Irr,NotElliptical
83849,Sd-Irr,NotElliptical
83872,Sd-Irr,NotElliptical
83928,Sd-Irr,NotElliptical
84048,Sd-Irr,NotElliptical
84106,E,Elliptical
84107,Sab-Scd,NotElliptical
84226,Sd-Irr,NotElliptical
84296,Sd-Irr,NotElliptical
84601,Sd-Irr,NotElliptical
84658,LBS,NotElliptical
84677,S0-Sa,NotElliptical
84680,E,Elliptical
84692,Sd-Irr,NotElliptical
84705,Sab-Scd,NotElliptical
84900,S0-Sa,NotElliptical
84910,Sd-Irr,NotElliptical
85114,LBS,NotElliptical
85137,Sd-Irr,NotElliptical
85205,E,Elliptical
85213,Sd-Irr,NotElliptical
85217,Sd-Irr,NotElliptical
85361,LBS,LBS
85416,E,Elliptical
85423,Sd-Irr,NotElliptical
85464,Sd-Irr,NotElliptical
85474,S0-Sa,NotElliptical
85479,Sab-Scd,NotElliptical
85481,Sab-Scd,NotElliptical
85507,Sab-Scd,NotElliptical
85557,Sd-Irr,NotElliptical
85643,Sd-Irr,NotElliptical
85845,Sd-Irr,NotElliptical
85881,Sd-Irr,NotElliptical
85919,LBS,NotElliptical
86115,Sd-Irr,NotElliptical
86116,LBS,NotElliptical
86215,Sd-Irr,NotElliptical
86278,Sd-Irr,NotElliptical
91384,Sd-Irr,NotElliptical
91458,Sd-Irr,NotElliptical
91473,Sd-Irr,NotElliptical
91500,Sd-Irr,NotElliptical
91510,Sd-Irr,LBS
91511,LBS,LBS
91545,E,Elliptical
91568,E,Elliptical
91572,LBS,NotElliptical
91579,Sd-Irr,NotElliptical
91582,E,Elliptical
91616,Sd-Irr,NotElliptical
91627,Sab-Scd,NotElliptical
91634,Sab-Scd,NotElliptical
91649,S0-Sa,NotElliptical
91669,Sd-Irr,NotElliptical
91671,Sd-Irr,NotElliptical
91686,S0-Sa,NotElliptical
91689,E,Elliptical
91692,S0-Sa,NotElliptical
91694,Sd-Irr,NotElliptical
91695,Sab-Scd,NotElliptical
91697,E,Elliptical
91713,Sd-Irr,NotElliptical
91919,Sd-Irr,NotElliptical
91920,LBS,NotElliptical
91926,S0-Sa,NotElliptical
91954,Sd-Irr,NotElliptical
91963,E,Elliptical
91964,LBS,LBS
91971,LBS,NotElliptical
91973,Sd-Irr,NotElliptical
91984,Sd-Irr,NotElliptical
91988,E,Elliptical
91989,E,Elliptical
91996,S0-Sa,NotElliptical
91997,Sab-Scd,NotElliptical
91999,E,Elliptical
92000,E,Elliptical
92002,Sab-Scd,NotElliptical
92010,E,Elliptical
92012,Sab-Scd,NotElliptical
92019,Sd-Irr,NotElliptical
92022,Sd-Irr,NotElliptical
92026,Sab-Scd,NotElliptical
92031,LBS,NotElliptical
92039,Sab-Scd,NotElliptical
92040,Sab-Scd,NotElliptical
92055,Sd-Irr,NotElliptical
92056,Sd-Irr,NotElliptical
92059,Sd-Irr,NotElliptical
92060,Sd-Irr,NotElliptical
92068,Sd-Irr,NotElliptical
92072,Sd-Irr,NotElliptical
92073,LBS,NotElliptical
92082,Sd-Irr,LBS
92091,Sd-Irr,NotElliptical
92107,Sd-Irr,NotElliptical
92137,Sd-Irr,NotElliptical
92141,Sd-Irr,NotElliptical
